Device;Framework;Model;Energy Consumed (SS) (kWh);Carbon Footprint (SS) (kgCO₂eq);Energy Consumed (MS) (kWh);Carbon Footprint (MS) (kgCO₂eq);;
SC3UIS ExaDELL;TF;Mobilenet;0.00474267;0.00175360;0.01262351;0.00466755;;(PUE=1.45, CI=0.255)
SC3UIS ExaDELL;TF;ResNet50;0.00468570;0.00173254;0.01590180;0.00587970;;(PUE=1.45, CI=0.255)
SC3UIS ExaDELL;ORT;Mobilenet;0.00306628;0.00113376;0.01121531;0.00414687;;(PUE=1.45, CI=0.255)
SC3UIS ExaDELL;ORT;ResNet50;0.00459891;0.00170045;0.01627233;0.00601669;;(PUE=1.45, CI=0.255)
SC3UIS ExaSM;TF;Mobilenet;0.01078641;0.00398827;0.02205900;0.00815632;;(PUE=1.45, CI=0.255)
SC3UIS ExaSM;TF;ResNet50;0.01087263;0.00402016;0.02953239;0.01091960;;(PUE=1.45, CI=0.255)
SC3UIS ExaSM;ORT;Mobilenet;0.00757042;0.00279916;0.01024780;0.00378913;;(PUE=1.45, CI=0.255)
SC3UIS ExaSM;ORT;ResNet50;0.01080084;0.00399361;0.03472680;0.01284023;;(PUE=1.45, CI=0.255)
